language,nCharText.zhon2,nCharText.zhon1
English,547,573
Turkish,573,592
Chinese (traditional),177,186
Spanish,629,671
Chinese (simplified),170,183
Serbian,581,605
Polish,541,541
Italian,682,713
German,646,665
French,593,635
Dutch,607,649
Czech,556,564
